title,description,Deposit,Rent PCM,Bills Included,Broadband,Student Friendly,Families Allowed,Pets Allowed,Smokers Allowed, DSS/LHA Covers Rent  ,Available From,Minimum Tenancy, Online Viewings      ,Garden,Parking,Fireplace,Furnishing,EPC Rating,station_distances, DSS Income Accepted  ,Maximum Tenancy,Students Only,EPC Not Required
"2 Bed Flat, Lawrence Wharf, SE16"," 2 bedroom Waterside Luxury Apartment with private underground allocated parking space .Fantastic panoramic views across the Thames ,Canary Wharf ,The city of London and the Shard .Bright spacious open plan fully fitted ultra modern kitchen with all integrated modern appliances 2 Double bedrooms 2 WCs Floor to ceiling windows Balcony Real hardwood flooring All transport links bars cafes restaurants nearby and the Thames clipper service at your doorstepProfessionals onlyNO AGENTS  ","£2,307.69","£2,000.00",No,             View Offers         ,No,No,No,No,No,"27 August, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Limehouse                                    ', '                                        46 minute walk                                    '], ['                                        Limehouse                                    ', '                                        46 minute walk                                    '], ['                                        Westferry                                    ', '                                        58 minute walk                                    ']]",,,,
"2 Bed Flat, Anchor House, SW18"," Two-bedroom flat, with large private terrace, available within the popular Riverside West development. The property comprises of two double bedrooms, two bathrooms, kitchen with newly upgraded quality appliances, and a large living room, in a total area of 71 sq. m. (764 sq. ft).The large private terrace is overlooking the development's gardens. It is neutrally decorated and comes mostly unfurnished (one sofa bed, one office desk and chair, and a small patio set are included). Available to move-in anytime in August, up to early September.Other characteristics:24-hour concierge.Water bill is included. 3-min walk to Wandsworth Town station. Virgin active gym on site. Nursery on site. Convenience store on site. Parking on site via separate negotiation. ","£2,350.00","£2,350.00",No,             View Offers         ,No,No,No,No,No,"01 August, 2023",6 Months,,No,No,No,Unfurnished,D,"[['                                        Wandsworth Town                                    ', '                                        5 minute walk                                    '], ['                                        Clapham Junction                                    ', '                                        20 minute walk                                    '], ['                                        East Putney                                    ', '                                        21 minute walk                                    '], ['                                        Imperial Wharf                                    ', '                                        22 minute walk                                    ']]",,,,
"2 Bed Flat, Tyrells Court, SE15","                                This stylish Zone 2 top-floor (4th) apartment offers modern living in a great location and a wraparound balcony providing stunning views of London.  The flat benefits from plenty of natural light and has two double bedrooms with balcony access, two bathrooms and generous storage. Enjoy preparing meals and relaxing in its modern, open plan kitchen/lounge space. You can take in spectacular panoramic views of the central London skyline and The Shard, whether eating breakfast on the balcony or enjoying a book on the couch. This wonderful home is located in Nunhead, which has a village-like atmosphere and was voted as one of London's Best Places To Live by The Times. A minute's walk from the expansive and beautiful Peckham Rye Park, it is also very close to Peckham, one of London's most vibrant neighbourhoods. In short, you'll find both plenty of greenery and independent shops, bars & restaurants nearby, as well as a great sense of community.  The flat would suit a professional couple or sharers; being under fifteen minutes' walk to both Peckham Rye and Nunhead railway station, this home is superbly located for City and West End commuters. It also has excellent bus access to central London, including Kings Cross and Oxford Circus.This home is furnished, has approx 61m squared floor space, benefits from lift access and comes with its own parking space.                            ","£2,300.00","£2,300.00",No,             View Offers         ,No,No,No,No,No,"04 September, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Peckham Rye                                    ', '                                        12 minute walk                                    '], ['                                        East Dulwich                                    ', '                                        16 minute walk                                    '], ['                                        Nunhead                                    ', '                                        17 minute walk                                    '], ['                                        Queens Road Peckham                                    ', '                                        21 minute walk                                    ']]",,,,
"Room in a Shared House, Adeney Close, W6","                                This is a lovely large double bedroom in the heart of Hammersmith. Hammersmith underground station and charing cross hospital are only a short walk away. The room comes fully furnished. The property comes with garden access, a bathroom and seperate groundfloor toilet. The current housemates are all mature ladies. Bills inclusive. No couples. No pets. No smokers.                            ","£1,130.76",£980.00,No,             View Offers         ,No,No,No,No,No,"13 September, 2023",6 Months,,No,No,No,Furnished,,"[['                                        Barons Court                                    ', '                                        12 minute walk                                    '], ['                                        Hammersmith (District and Piccadilly)                                    ', '                                        15 minute walk                                    '], ['                                        West Kensington                                    ', '                                        16 minute walk                                    '], ['                                        Hammersmith (Hammersmith & City)                                    ', '                                        18 minute walk                                    ']]",,,,Shared Accommodation
"1 Bed Flat, Royal Gate Apartments, E9"," Imagine 2 flats combined into one extremely large living space over two floors to give an indication on how large this living space truly is!AVAILABLE NOW - LONG LET - OVER 1200sqftThe property - magnificent penthouse - luxury living â Victorian school conversion - central position within the heart of Victoria Park village - incredible attention to detail. This unique spacious penthouse has commanding views of the city and offers spacious and light living space in a recently refurbished and redesigned apartment. Also benefitting from off street secure allocated parking.Entrance hall - Entrance via solid timber fire door, Oak engineered flooring, underfloor heating, video intercom and security system, access to Bedroom and Bathroom via solid wood space saving sliding doors.  Office Area - To the left of the entrance hall is an open plan office area with a large overhead light well and large Sash windows making this area light and inviting, setting the scene for the rest of the propertyBedroom 1 â Enter via a solid wood sliding door, large dual aspect sash windows provide lots of natural light, spacious double bedroom with wood flooring, under floor heating, various power points, dimmer controlled spot lights and built in under stairs storage accessed via solid wood sliding door. Modern bathroom - Three-piece suite comprising: Wall mounted floating low-level WC, wash hand basin with mixer taps and floating vanity unit, Glass panel enclosed walk in shower with mixer tap, a large overhead rainfall shower head and a hand-held shower attachment all set with beautiful handmade blue mosaic tiles contrast the light grey Porcelanosa large natural stone floor tiles with under floor heating, wall mounted heated mirror, wall mounted heated towel rail, extractor fan, inset spotlights.First FloorKitchen/Dining - Accessed via the stairs, you are greeted by a large open plan living space with the same solid wood flooring as down stairs. The large glass atrium commands attention and beautify frames the newly fitted high specification kitchen. Various base and eye level units with corian worktop and white integrated sink and draining with stainless steel mixer tap, large five ring AEG gas hob with overhead stainless steel AEG extractor fan, integrated AEG Fridge and Freezer, AEG steam washer/ dryer, AEG steam and combi oven, Wi-Fi controlled AEG dishwasher and CDA 15 bottle wine fridge, USB port and access to 8 power sockets. Under counter and under worktop strip lighting add to the attention to detail along with the beautiful handmade glass tiles the run the length of the kitchen provide a striking contrast to the high gloss white cabinets.  Just off the kitchen is a large dining table providing a great space to entertain. Living area - Open Plan living with access to modular break out areas, framed by the large frosted glass light well and offing unrestricted views across the apartment, the mezzanine offers a light and spacious living area to relax and entertain, the breakout areas offer additional space that can be zoned off, perfect for a Yoga or exercise area and a reading / quiet snug. The infinity glass balustrade blends seamlessly into its surroundings offering a unique sense of space and light. The traditional Victorian style radiators are a nod the origins of the building. Please include current employment status, timescales and any other infomation you feel may support your application. References both personal and professional will be required. ","£3,461.53","£3,000.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,At tenant choice,C,"[['                                        Cambridge Heath                                    ', '                                        16 minute walk                                    '], ['                                        London Fields                                    ', '                                        17 minute walk                                    '], ['                                        Homerton                                    ', '                                        18 minute walk                                    '], ['                                        Bethnal Green                                    ', '                                        21 minute walk                                    ']]",,,,
"4 Bed Terraced House, Queen Of Denmark Court, SE16","  NO COMPANY LETS - PLEASE DO NOT MAKE CONTACT IF YOU ARE A COMPANY! Large 4 Bedroom Townhouse in great decorative condition, and walking distance from both Surrey Quays and Canada Water stations, with the stunning view of the South Dock Marina right in front of the townhouse.The house comprises of three floors, with four double bedrooms, a living room/dining area opening onto one of three balconies overlooking the dock as well as having large bay windows allowing plenty of natural light in. There is a separate fully fitted kitchen.TRANSPORT: The Greenland Pier is right at your doorstep which takes you to Greenwich and Canary Wharf in a few minutes and the property is roughly 10-15 minutes from Canada Water for easy access to Central London and many other destinations. ","£5,480.76","£4,750.00",No,             View Offers         ,No,No,No,No,No,"28 July, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        Surrey Quays                                    ', '                                        16 minute walk                                    '], ['                                        Canada Water                                    ', '                                        19 minute walk                                    '], ['                                        Canada Water                                    ', '                                        20 minute walk                                    '], ['                                        Limehouse                                    ', '                                        46 minute walk                                    ']]",,,,
"2 Bed Terraced House, Queen Of Denmark Court, SE16","                                NO COMPANY LETS - PLEASE DO NOT MAKE CONTACT IF YOU ARE A COMPANY! 2 double bedroom riverside apartment.. There is a spacious living room as well as a fully fitted separate stainless kitchen. Real wood flooring throughout the property. The property is very high spec, and in a fantastic location, being close to Canada Water Jubilee Line as well as the Greenland Pier for the river ferry service to Canary Wharf (4 mins), the City, Greenwich and many more locations along the river.                            ","£2,942.30","£2,550.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,C,"[['                                        Surrey Quays                                    ', '                                        15 minute walk                                    '], ['                                        Canada Water                                    ', '                                        18 minute walk                                    '], ['                                        Canada Water                                    ', '                                        18 minute walk                                    '], ['                                        Limehouse                                    ', '                                        45 minute walk                                    ']]",,,,
"4 Bed Terraced House, Royal Court, SE16","                                NO COMPANY LETS - PLEASE DO NOT MAKE CONTACT IF YOU ARE A COMPANY!5 Week Deposit & 1 Month Rent In Advance:Large 4 Bedroom Townhouse in great decorative condition, and walking distance from both Surrey Quays and Canada Water stations, with the stunning view of the South Dock Marina right in front of the townhouse.The house comprises of three floors, with 4 double bedrooms, spacious kitchen / living room and 3 bathrooms. each floor opening onto one of three balconies overlooking the dock as well as having large bay windows allowing plenty of natural light in. Canada Water & Rotherhithe are charming areas situated south of the river Thames. The area is well connected via Canada Water, Surrey Quays and Rotherhithe stations as-well as the river taxi making The City and Canary Wharf easily accessible. Although residents can enjoy walks along the banks of the river to Shad Thames which is home to array of bars and restaurants, the area also boasts many of its own amenities including Surrey Quays shopping centre and cinema.                            ","£4,615.38","£4,000.00",No,             View Offers         ,No,No,No,No,No,"27 July, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Surrey Quays                                    ', '                                        15 minute walk                                    '], ['                                        Canada Water                                    ', '                                        19 minute walk                                    '], ['                                        Canada Water                                    ', '                                        19 minute walk                                    '], ['                                        Limehouse                                    ', '                                        45 minute walk                                    ']]",,,,
"2 Bed Maisonette, Amhurst Road, E8","                                We are proud to offer this delightful 2 bedroom, 1 bathroom Victorian maisonette in a great location close to local shops, parks and rail links to Central London, Stratford and further afield. The property benefits from period features. On the first floor there is a large, light and high ceilinged lounge with double glazed sash windows. To the rear is a dining kitchen which opens out onto a private south facing patio. The lounge has had a new carpet since photos were taken. On the second floor are two double bedrooms and the bathroom, which has a shower, bath and vanity sink. The property is well insulated, benefitting from newly installed loft insulation and internal wall insulation on the first floor. It is a short walk from Hackney Downs, London Fields and the shops of Mare Street. Both Hackney Downs and Hackney Central rail stations are less than five minutes walk, giving direct connections to Liverpool Street, Camden, Stratford and Enfield. The property benefits from ample bike storage in the downstairs lobby. The front door opens directly onto the street. Available to move in from 1 September 2023, this property is offered unfurnished. Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,500.00 per month (Â£577.00 per week)Deposit / Bond is Â£2,800.00Minimum tenancy is 12 monthsMaximum number of tenants is 4.                            ","£2,884.61","£2,500.00",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",12 Months,No,No,No,No,Unfurnished,C,"[['                                        Hackney Downs                                    ', '                                        2 minute walk                                    '], ['                                        Hackney Central                                    ', '                                        6 minute walk                                    '], ['                                        London Fields                                    ', '                                        16 minute walk                                    '], ['                                        Dalston Kingsland                                    ', '                                        16 minute walk                                    ']]",,,,
"6 Bed Terraced House, Margravine Road, W6",                                This is a lovely six bedroom property which is newly renovated to a high standard .The kitchen has granite work surfaces and a range cooker .This opens into a small well kept garden .There is a lounge off the kitchen .The six bedrooms are all good sizes with double beds .Some have built in wardrobes .The three bathrooms have granite tiles and are all tastefully done .This is a very nice property indeed close to local underground links of barons court and hammersmith .Local shops are very near in the fulham palace road .The river is only a short distance from this property as well                            ,"£7,615.00","£6,300.00",No,             View Offers         ,No,No,No,No,No,"29 July, 2023",12 Months,,No,No,No,Furnished,Currently Being Obtained,"[['                                        Barons Court                                    ', '                                        8 minute walk                                    '], ['                                        Hammersmith (District and Piccadilly)                                    ', '                                        11 minute walk                                    '], ['                                        Hammersmith (Hammersmith & City)                                    ', '                                        14 minute walk                                    '], ['                                        West Kensington                                    ', '                                        14 minute walk                                    ']]",,,,
"2 Bed Flat, Mission Building, E14","                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 01 August 2023, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,200.00 per month (Â£507.69 per week)Deposit / Bond is Â£2,538.46Minimum tenancy is 12 monthsMaximum number of tenants is 4                            ","£2,538.46","£2,200.00",No,             View Offers         ,No,No,No,No,No,"01 August, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Westferry                                    ', '                                        8 minute walk                                    '], ['                                        Limehouse                                    ', '                                        8 minute walk                                    '], ['                                        Limehouse                                    ', '                                        8 minute walk                                    '], ['                                        West India Quay                                    ', '                                        16 minute walk                                    ']]",,,,
"3 Bed Flat, Clifton Terrace, N4","                                A sleek and contemporary first floor 3 bedroom, 2 bath flat just a stones throw away from Finsbury Park tube.Available from September and benefits include Juliet style balconies, air conditioning throughout and offered furnished.Viewing highly recommended.                            ","£4,038.46","£3,500.00",No,             View Offers         ,No,No,No,No,No,"09 September, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Finsbury Park                                    ', '                                        3 minute walk                                    '], ['                                        Finsbury Park                                    ', '                                        3 minute walk                                    '], ['                                        Crouch Hill                                    ', '                                        12 minute walk                                    '], ['                                        Arsenal                                    ', '                                        14 minute walk                                    ']]",,,,
"2 Bed Flat, Kilburn, NW6"," GREAT LOCATED 2 BED FLAT TO RENT IN KILBURN, NW6 ZONE IIFULLY FURNISHED INCL BILLS & BROADBANDAVAILABLE FOR SHORT LET CURRENTLY FROM 22nd July-25th AugustRENT: Â£975 PWK. Bills & Broadband includedIdeal for a professional couple/small family/mature students (524 sq ft fits 3 occupants comfortably) Set on the first floor of this beautiful period conversion, the property comprises of two good sized bedrooms, bathroom and a bright open plan fitted kitchen / living area with good storage.In the conservation area of Brondesbury (Brent Borough) - moments from all the vast shops, bars and restaurants of Kilburn High Road and Queens Park, its a short walk of 5 mins to Kilburn, Jubilee Line, 2 mins walk to Brondesbury Overground and Thames Link. It's nestled conveniently between two lovely parks with tennis courts. Hampstead Heath is a fantastic 6mins away on the overground. Travel into Central London is a short 10 mins on the underground and the night tube facility on Fri/Sat is a huge bonus for maximising your weekend in the city. This truly is a gem in a central location.FLAT DESCRIPTION:â¢ MODERN INTERIORSâ¢ 2 DOUBLE BED FLAT (LARGE DOUBLE & SMALL DOUBLE)â¢ 1ST FLOOR IN A PERIOD CONVERSIONâ¢ HIGH CEILINGS / WOOD FLOORINGSâ¢ AMPLE STORAGE SPACETRANSPORT:â¢ 1 MIN WALK TO KILBURN HIGH RD & AMENITIES. 5 MINS WALK TO QUEENS PARK.â¢ 1 MIN WALK TO BUSES TO CENTRAL LONDON OR BRENT CROSSâ¢ 5 MINS WALK TO KILBURN TUBE, 12MINS WALK TO W. HAMPSTEAD & QUEENS PARK TUBE STATIONSâ¢  2 MINS WALK TO BRONDESBURY OVERGROUNDâ¢ RESIDENTIAL PARKING. EASY ACCESS TO M1 FOR THE NORTH ","£1,000.00","£4,225.00",No,             View Offers         ,No,No,No,No,No,Today,1 Months,,No,No,No,Furnished,C,"[['                                        Brondesbury                                    ', '                                        4 minute walk                                    '], ['                                        Kilburn                                    ', '                                        8 minute walk                                    '], ['                                        Brondesbury Park                                    ', '                                        9 minute walk                                    '], [""                                        Queen's Park                                    "", '                                        16 minute walk                                    ']]",,1 Months,,
"1 Bed Flat, Lillie Road, SW6","                                A newly refurbished and well proportioned one bedroom flat set on the first floor of this terraced building, located close to the green spaces of Lillie road recreation ground. This light and airy property has an well proportioned open plan reception with fitted kitchen, family bathroom and a double bedroom. The property is conveniently located for the amenities and services of both the Lillie Road, Munster Road and the Fulham Palace Road. 10 minutes from Hammersmith Broadway Train Station: District Line, Piccadilly Line, Ham & City Line.EPC: Band CCouncil Tax Â£1,160.88pa (Band C). 2023-24                            ","£2,250.00","£1,950.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,C,"[['                                        Barons Court                                    ', '                                        15 minute walk                                    '], ['                                        Hammersmith (District and Piccadilly)                                    ', '                                        16 minute walk                                    '], ['                                        Parsons Green                                    ', '                                        18 minute walk                                    '], ['                                        West Kensington                                    ', '                                        19 minute walk                                    ']]",,,,
"Room in a Shared Flat, Rotherhithe Street, SE16","                                Spacious double ensuite room available in our 3 bedroom flat with access to a balcony overlooking the thames.The room comes unfurnished, but with a built in wardrode, providing plenty of space/storage.The ensuite offers privacy and convenience, there is also with a communal living area/kitchen, so that you can socialise with the flat mates and relax.Looking for a relaxed, sociable person/persons to join the flat, which is located in a quiet neighbourhood, providing a peaceful atmosphere to relax in.Friendly flat mates, working in Tech/Media.Room is available November 2023, for a year tenancy.Please note, that there is a cat in the flat so we won't be able to take a new flatmate with pets.Please provide references, and contact us for a viewing!                            ","£1,151.00","£1,300.00",No,             View Offers         ,No,No,No,No,,"01 November, 2023",12 Months,,No,No,No,Unfurnished,,"[['                                        Limehouse                                    ', '                                        48 minute walk                                    '], ['                                        Limehouse                                    ', '                                        48 minute walk                                    '], ['                                        Westferry                                    ', '                                        59 minute walk                                    ']]",No,,,Shared Accommodation
"3 Bed Maisonette, Holland Walk, N19"," 3 bedroomsPrivate gardenSpacious living roomFully-fitted kitchenModern bathroomGood transport linksUnfurnishedNew KitchenNew laminated floorA bright and spacious three bedroom maisonette comprising 911 sqft / 85 sqm of living space and excellent transport links.This maisonette comprises three bedrooms, a bathroom with separate toilet, lots of storage, a fully-fitted kitchen and a large reception room with direct access to the rear garden.Ideally located within close proximity to Archway station (Northern Line), Upper Holloway station (Overground) and a good selection of shops, restaurants and bars.                            ","£3,057.69","£2,650.00",No,             View Offers         ,No,No,No,No,,Today,12 Months,,No,No,No,Unfurnished,C,"[['                                        Upper Holloway                                    ', '                                        7 minute walk                                    '], ['                                        Archway                                    ', '                                        10 minute walk                                    '], ['                                        Crouch Hill                                    ', '                                        12 minute walk                                    '], ['                                        Tufnell Park                                    ', '                                        21 minute walk                                    ']]",No,,,
"2 Bed Flat, Bannister Road, W10",                                A bright large interior designed two double bedroom two bathroom apartment in this sought after location in between Kensal Green and Queens Park underground stations. Smoking is permitted outside the front door of the flat/apartment only. Secure underground parking space is available for an additional monthly fee.                            ,"£3,124.99","£2,708.33",No,             View Offers         ,No,No,No,No,No,Today,12 Months,No,No,No,No,Furnished,B,"[['                                        Kensal Rise                                    ', '                                        7 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        10 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        10 minute walk                                    '], [""                                        Queen's Park                                    "", '                                        12 minute walk                                    ']]",,,,
"2 Bed Flat, Kingwood Road, SW6","                                Large 1st floor flat in very central aera, close to all local amenties.Flat is furnished with basic furniture has a fully fitted kithen with washing machince                            ","£2,200.00","£2,200.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,C,"[['                                        Parsons Green                                    ', '                                        16 minute walk                                    '], ['                                        Fulham Broadway                                    ', '                                        18 minute walk                                    '], ['                                        Putney Bridge                                    ', '                                        20 minute walk                                    '], ['                                        Barons Court                                    ', '                                        21 minute walk                                    ']]",,,,
"2 Bed Flat, Noko, W10","                                55 NoKo Apartments is a fantastic 2 bed/2 bath modern flat in the heart of the Queens Park. It is the largest flat in the complex and comes with its own car parking space in a secure, underground, gated car park - a real godsend in such a bustling part of townThe NoKo apartment block is situated within an 8 minute walk of both Queens Park and Kensal Green tube station, 3 minute walk from Kensal Rise overground station and furnished by many bus routes into and out of town. It's location is perfect for easy access into the heart of London, the vibrant Notting Hill as well as it's bohemian chic environs of Kensal Rise/Queens Park.   The property is gated (as is the car park) and is a very safe community. The communal areas are kept clean, aesthetically pleasing and clutter-free. The flat is on the second floor with 2 lift access points on each floor. There is an entrance hall, perfect for coat and equipment storage. The living dining area is extremely generous and is perfect for hosting and relaxing. The two bedrooms are of good size, one of which with an additional inbuilt storage cupboard. Both have en-suite bathrooms - one of which is accessible by the main living area. The flat comes fully furnished.                            ","£2,200.00","£2,200.00",No,             View Offers         ,No,No,No,No,No,"05 August, 2023",12 Months,,No,No,No,Furnished,B,"[['                                        Kensal Rise                                    ', '                                        7 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        9 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        9 minute walk                                    '], [""                                        Queen's Park                                    "", '                                        12 minute walk                                    ']]",,,,
"1 Bed Flat, Wyfold Road, SW6","  **SHORT-TERM ACCOMMODATION 2 BED APARTMENT - ALL BILLS INCLUDED - PERFECT FOR CONTRACTORS/ BUSINESS TRAVELERS/GROUPS** FULHAM OASIS BY PASS THE KEYSWe have a one-bedroom apartment available which is perfect for a short-term or mid-term stay.Our one-bedroom apartment is ideal for contractors, and business travelers looking for a home away from home. Our accommodation is fully furnished and the perfect place if you are assigned to work locally for a short-term basis, relocating from abroad, or waiting for a house purchase completion, insurance repair or renovations.Our Serviced Accommodation in Fulham offers:1 Fully Furnished Apartment (1 double bed)Sleeps 2Fully Equipped Kitchen with full fridge, Nespresso Coffee machine, and Washing MachineModern Clean BathroomSmart TV and Free WiFiAll Bills IncludedWhy choose us as your next home away from home?10 min walk to Fulham FC at Craven Cottage7 minute drive to Chelsea FC at Stamford Bridge (Soccer memorabilia, guided tours)7-minute drive to WWT London Wetland Centre (Nature reserve with bird spotting hides)5-minute drive to Fulham Palace (Former home of the Bishops of London)Our accommodation would be a perfect fit for:Companies looking for temporary housing for short-term relocation or long-term corporate staysContractors, & Business TravelersIndividual business travelers looking for a home away from home or a short/medium term relocation stayThe spaceWelcome to my charming apartment, where you can experience the vibrant energy and rich history of London while enjoying a comfortable and memorable stay in a cozy home away from home.  The flat sleeps up to 2 guests in one spacious double bedroom. The street is quiet but is moments from the bars/restaurants/coffee shops on popular Munster and Fulham roads, bishops park and the Thames, so is perfectly positioned to use as a base in London.The stunning Fulham Palace and scenic Bishops Park, located just next door and a short 10-minute walk away, offer visitors a peaceful retreat from the hustle and bustle of the city, with picturesque gardens, historic buildings, and serene river views.The flat is conveniently located on the ground floor of the building. The living area has a 2 seater sofa, coffee table, a dining table and chairs. There is also a Smart TV, a full length cupboard with hangers for hanging your clothes.The modern kitchen is fully equipped with appliances such as an oven, gas hob, fridge and washing machine. Smaller appliances include a microwave, kettle and toaster. If you would like to use the coffee maker, please bring along your preferred flavour of Vertuo Nespresso coffee pods. The bedroom has a double bed and a full length wardrobe for storing your clothes.You will also find a 3 piece bathroom suite with a shower over the bath tub.On street parking is available outside the flat and adjacent streets. Guests need to pay for this parking by phone or at a pay machine. Roads nearby control parking between 9am and 8pm.ManagementMy property is professionally cleaned and is set up to be remote access. The linen and towels are removed from the property after each stay and replaced with freshly laundered supplies. We also provide single-use and individually wrapped items such as shampoo, conditioners and soap.A complimentary welcome pack of tea and coffee will be waiting for you on arrival. Other items included are a washing-up pack, toilet roll and kitchen roll which will last a couple of days. If wish to purchase more for your stay there is a Co-op Food and a Tesco Express supermarket a few minutes walk away.Pass the KeysÂ® is a Property Management Company managing many listings on Airbnb.Pass the KeysÂ® provides a hotel standard of service for short-let properties. The property is professionally maintained and cleaned. We guarantee professionally cleaned linens and toiletries.We also provide 24/7 guest support and local personal service before and during your stay.The local community-based team of Pass the KeysÂ® personally inspects the property and certifies the home has met Pass the KeysÂ® Property Readiness Standard. ",£500.00,"£3,775.00",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",1 Months,,No,No,No,Furnished,,"[['                                        Parsons Green                                    ', '                                        16 minute walk                                    '], ['                                        Fulham Broadway                                    ', '                                        19 minute walk                                    '], ['                                        Putney Bridge                                    ', '                                        20 minute walk                                    '], ['                                        Barons Court                                    ', '                                        22 minute walk                                    ']]",,3 Months,,Holiday Let: Less than 4 months usage per year
"5 Bed Terraced House, Princes Court, SE16","                                We are proud to offer this delightful 5 bedroom, 3 bathroom terraced house in a great location.Available to move in from 15 September 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,950.00 per month (Â£1,142.31 per week)Deposit / Bond is Â£5,711.53Minimum tenancy is 12 monthsMaximum number of tenants is 5                            ","£5,711.53","£4,950.00",No,             View Offers         ,No,No,No,No,No,"15 September, 2023",12 Months,,No,No,No,Furnished,D,"[['                                        Surrey Quays                                    ', '                                        16 minute walk                                    '], ['                                        Canada Water                                    ', '                                        20 minute walk                                    '], ['                                        Canada Water                                    ', '                                        20 minute walk                                    '], ['                                        Westferry                                    ', '                                        58 minute walk                                    ']]",,,,
"2 Bed Flat, First Floor, NW3","                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 15 September 2023. Property is offered furnished or unfurnished (tenant can decide).Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£3,900.00 per month (Â£900.00 per week)Deposit / Bond is Â£4,500.00Minimum tenancy is 12 monthsMaximum number of tenants is 3                            ","£4,500.00","£3,900.00",No,             View Offers         ,No,No,No,No,No,"15 September, 2023",12 Months,,No,No,No,At tenant choice,C,"[['                                        Finchley Road & Frognal                                    ', '                                        8 minute walk                                    '], ['                                        Hampstead                                    ', '                                        10 minute walk                                    '], ['                                        Finchley Road                                    ', '                                        14 minute walk                                    '], ['                                        West Hampstead Thameslink                                    ', '                                        14 minute walk                                    ']]",,,,
"5 Bed Terraced House, Princes Court, SE16","                                We are proud to offer this delightful 5 bedroom, 3 bathroom terraced house in a great location.Available to move in from 14 September 2023, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£5,750.00 per month (Â£1,326.92 per week)Deposit / Bond is Â£6,634.61Minimum tenancy is 12 monthsMaximum number of tenants is 5                            ","£6,634.61","£5,750.00",No,             View Offers         ,No,No,No,No,No,"14 September, 2023",12 Months,,No,No,No,Furnished,D,"[['                                        Surrey Quays                                    ', '                                        16 minute walk                                    '], ['                                        Canada Water                                    ', '                                        20 minute walk                                    '], ['                                        Canada Water                                    ', '                                        20 minute walk                                    '], ['                                        Westferry                                    ', '                                        58 minute walk                                    ']]",,,,
"2 Bed Flat, Banister Road, W10"," Ready to move into, this two-bedroom, two-bathroom new-build apartment is beautifully presented across nearly 82 square meters (nearly 800 square feet), centrally located in Kensal Rise, and boasts high ceilings and floor-to-ceiling windows throughout. The apartment comprises a fantastically spacious reception room with a modern open-plan kitchen, stylish decor, two double bedrooms with ensuite bathrooms, private communal gardens, and optional, underground parking. The property is positioned for easy access to the boutiques and eateries of Notting Hill, and the world-famous Portobello Market.   The apartment is supplied completely furnished to high-spec Airbnb standards and is suitable for professionals, families, or mature students seeking something special. It features a fully stocked kitchen with a granite worktop, coffee machine, Neff appliances, dishwasher, crockery, cutlery and dinnerware, linen, washer-dryer, 4K smart TV, Sonos soundbar, Sonos entertainment system, and hyper-fast 900MBS broadband. Everything in the images is included in the property â just arrive with your suitcase. ","£2,745.00","£2,745.00",No,             View Offers         ,No,No,No,No,No,"31 July, 2023",1 Months,No,No,No,No,Furnished,C,"[['                                        Kensal Rise                                    ', '                                        7 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        10 minute walk                                    '], ['                                        Kensal Green                                    ', '                                        10 minute walk                                    '], [""                                        Queen's Park                                    "", '                                        10 minute walk                                    ']]",,,,
